arm,spells,stockout_events,stockout_rate,days_out_of_stock,days_out_of_stock_pct,units_demanded,units_sold,units_lost,fill_rate,avg_store_stock,avg_inventory_units,service_level
sl-0.5,20660,13722,0.6641819941916748,89321,0.1700966828471261,341254,283163,58091,0.8297719587169674,7.12306924716112,20780.327777777777,0.5
sl-0.6,21273,11922,0.5604287124524044,71387,0.13594442402579224,341254,294621,46633,0.863348121926776,7.860035534802588,22930.3,0.6
sl-0.7,22060,9396,0.42592928377153216,51165,0.09743505757742531,341254,307389,33865,0.9007630679786903,8.918845061785996,26019.194444444445,0.7
sl-0.8,22875,6591,0.2881311475409836,33051,0.0629400193099088,341254,319354,21900,0.9358249280594513,10.44793846728075,30480.06111111111,0.8
sl-0.9,23907,3358,0.14046095285899526,14989,0.02854400621573396,341254,331394,9860,0.9711065657838442,13.16392474848558,38403.48333333333,0.9
sl-0.95,24353,1682,0.06906746602061348,7415,0.014120608852469631,341254,336714,4540,0.9866961266388087,15.998994513624531,46674.311111111114,0.95
