arm,spells,stockout_events,stockout_rate,days_out_of_stock,days_out_of_stock_pct,units_demanded,units_sold,units_lost,fill_rate,avg_store_stock,avg_inventory_units
A-baseline,23208,9610,0.41408135125818685,51048,0.09721225093740657,341254,305700,35554,0.8958136754440974,8.635202687390859,25191.716666666667
C-survival-model,21223,12061,0.5682985440324176,74204,0.1413089223585511,341254,284706,56548,0.8342935174386235,7.536417459661524,21986.2
C-lead-time-demand,24353,1682,0.06906746602061348,7415,0.014120608852469631,341254,336714,4540,0.9866961266388087,15.998994513624531,46674.311111111114
