itemnumber,dns,comp,gender,product,item,size,cname,assortment,item_status,CATEGORY,SUBCAT,Options_size,cno
35-205-XAN-37-1,35,LOOM & LACE,LT,FOOTWEAR,205,37,ANTIC GOLD,LT CHAPPALS 0-1,Loom & Lace,OCCASION,OPEN,35_205_ANTIC GOLD_37,28
35-192-XAN-36-1,35,LOOM & LACE,LT,FOOTWEAR,192,36,ANTIC GOLD,LT CHAPPALS 0-1,Loom & Lace,OCCASION,OPEN,35_192_ANTIC GOLD_36,28
35-3152-007,35,LOOM & LACE,LT,FOOTWEAR,3152,36,ANTIC GOLD,LT CHAPPALS 0-1,Loom & Lace,OCCASION,OPEN,35_3152_ANTIC GOLD_36,28
35-3333-012,35,LOOM & LACE,LT,FOOTWEAR,3333,42,ANTIC GOLD,LT CHAPPALS 0-1,Loom & Lace,OCCASION,OPEN,35_3333_ANTIC GOLD_42,28
35-3530-010,35,LOOM & LACE,LT,FOOTWEAR,3530,37,ANTIC GOLD,LT CHAPPALS 0-1,Loom & Lace,OCCASION,OPEN,35_3530_ANTIC GOLD_37,28
35-3334-006,35,LOOM & LACE,LT,FOOTWEAR,3334,36,ANTIC GOLD,LT CHAPPALS 0-1,Loom & Lace,OCCASION,OPEN,35_3334_ANTIC GOLD_36,28
35-3530-011,35,LOOM & LACE,LT,FOOTWEAR,3530,38,ANTIC GOLD,LT CHAPPALS 0-1,Loom & Lace,OCCASION,OPEN,35_3530_ANTIC GOLD_38,28
35-3728-XAN-38-1,35,LOOM & LACE,LT,FOOTWEAR,3728,38,ANTIC GOLD,LT CHAPPALS 0-1,Loom & Lace,OCCASION,OPEN,35_3728_ANTIC GOLD_38,28
